Imagem_Original,Imagem_Resultado,TAG_Lida,Tipo,Classe,Status
196.jpg,resultado_196.jpg,45-4244,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,15-4240,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,15-4241,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,R5-327,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,REMOIL,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,IOTAL,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,YQL,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,RUNNINC,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,35-327,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,55-327/,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,65-32,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,POSITION,Não cadastrado,Não cadastrado,Desconhecido
196.jpg,resultado_196.jpg,65-423,Não cadastrado,Não cadastrado,Desconhecido
