Imagem_Original,Imagem_Resultado,TAG_Lida,Tipo,Classe,Status
200.jpg,resultado_200.jpg,CRIP TRAP,Não cadastrado,Não cadastrado,Desconhecido
200.jpg,resultado_200.jpg,NTERCCC ER/AFTERCOC FR,Não cadastrado,Não cadastrado,Desconhecido
200.jpg,resultado_200.jpg,SUDE,Não cadastrado,Não cadastrado,Desconhecido
200.jpg,resultado_200.jpg,CARAT,Não cadastrado,Não cadastrado,Desconhecido
200.jpg,resultado_200.jpg,ELECTR,Não cadastrado,Não cadastrado,Desconhecido
200.jpg,resultado_200.jpg,INC /FUVRI,Não cadastrado,Não cadastrado,Desconhecido
200.jpg,resultado_200.jpg,7,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,P002,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,POO,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,16-1128126,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,PROCESS,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,"INSTRUMENT ELEMENT, PIPING",Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,VALVE; & EQUIPMENT SYMBOLS,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,YM,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,ENT,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,VE,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,AL,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,BOLS,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,IPM,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,EQU,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,MENT,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,LE,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,NT,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,TR,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,NS,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,PIPING,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,ESS,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,PROC,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,COUNTY,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,KA,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,K,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,M,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,2,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,777,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,VIXERS,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,ORAIN,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,~FR,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,"""ER",Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,FACILITT,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,"COUNTY |INSTRUMENT ELEMENT, PIPING",Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,POO2,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,TAV,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,CULEK,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,SIENCER,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,CFINDE?,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,~L,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,CFINDEZ,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,SFNCFR,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,FOI-R,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,SCRLEN,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,KC,Não cadastrado,Não cadastrado,Desconhecido
